Kapiti_F,Kapiti_D,Kapiti_S,Maunga_F,Maunga_D,Maunga_S,Rotok_F,Rotok_D,Rotok_S,Tiri_F,Tiri_D,Tiri_S,Karori_F,Karori_D,Karori_S,Bushy_F,Bushy_D,Bushy_S,Bushy_a,Bushy_b,Bushy_T,Karori_a,Karori_b,Karori_T,Maunga_a,Maunga_b,Maunga_T,Rotok_a,Rotok_b,Rotok_T,Tiri_a,Tiri_b,Tiri_T
37,1.347,0.891,35,-0.1879,0.640564753,22,1.246,1.586,91,1.04,1.709,20,0.7304,0.8542,13,-0.0002655,0.6604,-0.05806,-3.501,0.5,-0.4145,-2.507,0.27,0.2961,-1.389,0.58,0.09045,-3.406,0.2267,0.4662,-11.88,0.07
39,1.347,1.117,39,-0.1675,0.640564753,20,1.39,1.704,88,1.006,1.791,20,0.7304,0.6902,17,-0.05655,0.592,-0.003753,-3.601,0.5,-0.4145,-2.507,0.27,0.4028,-1.232,0.58,0.1028,-3.362,0.2299,0.5101,-11.53,0.07
36,1.285,1.144,53,-0.1675,0.375602467,16,1.351,1.433,88,1.006,1.479,18,0.7405,0.9524,18,-0.004369,0.6216,-0.005382,-3.678,0.5,-0.4543,-2.466,0.27,0.4028,-1.232,0.58,0.06277,-3.325,0.2284,0.5101,-11.53,0.07
34,1.263,0.9018,41,-0.1675,0.375602467,18,1.35,1.227,87,1.006,1.42,19,0.8054,0.8317,15,-0.03781,0.6696,-0.005382,-3.678,0.5,-0.4543,-2.466,0.27,0.2278,-1.186,0.58,0.05197,-3.276,0.2363,0.5092,-10.13,0.07
39,1.263,1.186,47,0.5125,0.377787378,19,1.116,1.484,86,1.006,1.342,21,0.8193,0.8892,14,-0.09344,0.6133,0.07136,-3.625,0.5,-0.4543,-2.466,0.27,0.1746,-1.203,0.58,0.02029,-3.245,0.2361,0.51,-10.28,0.07
37,1.273,1.027,39,0.2706,0.409278882,21,1.116,1.08,86,1.006,1.418,20,0.7973,1.032,11,-0.06802,0.6561,0.01637,-3.601,0.5,-0.4829,-2.424,0.27,0.2084,-1.215,0.58,0.02029,-3.245,0.2361,0.51,-10.28,0.07
36,1.315,1.05,40,0.2706,0.409278882,24,1.183,1.325,86,0.9429,1.204,18,0.7973,1.127,14,-0.1361,0.6251,0.01376,-3.453,0.5,-0.4829,-2.424,0.27,0.1331,-1.219,0.58,0.0145,-3.154,0.2377,0.51,-10.28,0.07
33,1.315,1.289,35,-0.1985,0.348705382,24,1.183,1.377,87,0.9429,1.171,20,0.7938,1.116,13,-0.1252,0.7039,0.01376,-3.453,0.5,-0.4556,-2.54,0.27,0.1062,-1.234,0.58,0.04036,-3.33,0.2375,0.51,-10.28,0.07
38,1.315,1.218,33,0.4147,0.348705382,24,1.367,1.357,88,0.9404,1.295,16,0.7723,0.8628,14,-0.1252,0.6159,-0.008813,-3.247,0.5,-0.4645,-2.456,0.27,0.1512,-1.149,0.58,-0.06411,-1.565,0.1988,0.5288,-9.823,0.07
38,1.467,1.232,36,0.4147,0.603532181,23,1.304,1.117,88,0.9465,1.346,18,0.7723,0.8999,10,-0.1983,0.658,-0.008813,-3.247,0.5,-0.4645,-2.456,0.27,0.1998,-1.367,0.58,-0.1275,-1.603,0.1926,0.5514,-10.09,0.07
38,1.484,1.3,40,-0.9896,0.603532181,21,1.153,1.171,88,0.9465,1.179,17,0.7723,0.9402,13,-0.1983,0.6739,-0.008813,-3.247,0.5,-0.4645,-2.456,0.27,0.1998,-1.367,0.58,-0.09748,-1.884,0.1925,0.5487,-10.34,0.07
55,1.484,1.157,40,-0.9896,0.658117446,23,0.78,1.714,88,1.015,1.262,15,0.8056,0.6947,16,-0.2353,0.8463,-0.2515,-2.231,0.5,-0.4826,-2.106,0.27,0.1855,-1.232,0.58,-0.1257,-1.991,0.1915,0.5522,-10.23,0.07
56,1.484,1.062,36,-1.155,0.658117446,27,0.976,1.578,88,1.015,1.266,16,0.6208,0.9128,13,-0.2353,0.4936,-0.2773,-2.452,0.5,-0.5429,-2.085,0.27,0.183,-1.226,0.58,-0.1318,-2,0.1935,0.5522,-10.23,0.07
55,1.724,1.199,32,0.02818,0.66551134,24,0.976,1.638,87,1.01,1.226,15,0.6367,0.9397,14,-0.2418,0.8282,-0.1612,-2.58,0.5,-0.5932,-2.102,0.27,0.1829,-1.217,0.58,-0.1189,-3.024,0.2166,0.5522,-10.23,0.07
29,1.721,1.158,30,0.02818,0.619107925,24,0.976,1.432,88,0.9436,1.166,15,0.6367,0.9335,14,-0.2299,0.61,-0.1499,-2.542,0.5,-0.5963,-2.011,0.27,0.2036,-1.376,0.58,-0.02622,-3.01,0.222,0.5503,-9.947,0.07
36,1.721,0.749,29,0.02818,0.88960868,24,0.8268,1.617,90,0.9352,1,18,0.592,0.9136,15,-0.2299,0.5281,-0.2413,-2.681,0.5,-0.5885,-1.923,0.27,0.1913,-1.372,0.58,-0.03812,-2.89,0.226,0.5396,-9.817,0.07
32,1.629,0.8888,34,0.02818,0.893268562,25,1.27,1.275,90,0.8801,1.03,20,0.592,0.7864,17,-0.1227,0.6439,-0.2413,-2.681,0.5,-0.6364,-1.74,0.27,0.1569,-1.5,0.58,-0.03812,-2.89,0.226,0.5396,-9.817,0.07
37,1.734,1.238,39,0.02818,0.724793918,22,1.27,1.487,89,0.9113,1.413,22,0.5681,0.845,12,-0.07615,0.7081,-0.1327,-2.933,0.5,-0.6557,-1.201,0.27,0.2257,-1.558,0.58,-0.07706,-2.396,0.2318,0.5645,-9.599,0.07
40,1.734,1.149,37,0.02818,0.879578543,24,1.242,1.396,90,0.9113,1.386,19,0.5681,0.9062,15,-0.07615,0.5715,-0.139,-2.794,0.5,-0.6557,-1.201,0.27,0.2512,-1.588,0.58,-0.08267,-2.33,0.2282,0.575,-10.07,0.07
35,1.734,1.09,39,0.02818,0.879578543,24,1.309,1.061,88,0.892,1.201,19,0.5681,0.9495,16,-0.04386,0.5784,-0.2005,-2.739,0.5,-0.612,-0.9098,0.27,0.3197,-1.519,0.58,0.005941,-3.37,0.217,0.5798,-9.75,0.07
37,1.724,1.011,37,0.1793,0.906597024,25,1.31,1.265,89,0.892,1.141,16,0.6051,0.9309,17,0.1927,0.5513,-0.2005,-2.739,0.5,-0.6217,-0.8851,0.27,0.2724,-1.486,0.58,-0.05743,-3.324,0.2252,0.6187,-10.19,0.07
30,1.724,0.8771,42,0.1793,0.277272303,20,1.31,1.707,90,0.892,1.214,20,0.5989,0.9415,10,0.1927,0.6159,-0.1226,-2.769,0.5,-0.613,-0.8261,0.27,0.2724,-1.486,0.58,-0.07737,-3.319,0.2202,0.5576,-8.986,0.07
36,1.724,0.7799,47,0.1793,0.024027554,17,1.354,1.719,89,0.892,1.498,19,0.5989,0.8361,14,0.2187,0.6794,-0.1226,-2.769,0.5,-0.613,-0.8261,0.27,0.132,-1.117,0.58,-0.1416,-3.149,0.2223,0.5291,-8.712,0.07
36,1.788,0.8942,48,0.1793,0.067426429,20,1.36,1.591,96,0.892,0.9986,18,0.6834,0.8556,11,0.2664,0.7301,-0.122,-2.703,0.5,-0.613,-0.8261,0.27,0.1464,-1.118,0.58,-0.185,-2.959,0.2235,0.5264,-8.772,0.07
36,1.796,0.8432,47,0.1793,0.023886049,20,1.296,1.741,94,0.892,1.058,16,0.6834,0.8215,11,0.2664,0.4744,-0.122,-2.703,0.5,-0.613,-0.8261,0.27,0.1464,-1.118,0.58,-0.2496,-2.97,0.225,0.521,-8.808,0.07
37,1.56,0.8446,50,0.1793,0.883057756,20,1.407,1.594,96,0.892,1.31,19,0.6834,0.8704,14,0.2244,0.6239,-0.1947,-2.506,0.5,-0.6116,-1.016,0.27,0.06304,-1.054,0.58,-0.2247,-3.006,0.2177,0.5088,-9.399,0.07
42,1.662,0.8694,47,-0.2828,0.62813459,20,1.34,1.596,92,0.892,1.523,20,0.6834,0.6745,11,0.1552,0.7893,-0.1735,-2.397,0.5,-0.602,-1.025,0.27,0.02553,-1.2,0.58,-0.2247,-3.006,0.2177,0.6657,-9.292,0.07
34,1.662,1.026,52,-0.2828,0.676772436,22,1.279,1.951,91,0.8749,1.22,22,0.6625,0.6802,10,0.1307,0.9416,-0.176,-1.952,0.5,-0.5816,-0.981,0.27,0.08078,-0.9326,0.58,-0.2242,-2.938,0.2216,0.6657,-9.292,0.07
36,1.728,1.338,48,0.5738,0.676772436,21,1.337,1.938,91,0.8842,1.365,18,0.6831,0.6856,11,0.164,0.7231,-0.176,-1.952,0.5,-0.5554,-1.15,0.27,0.08078,-0.9326,0.58,-0.3416,-1.113,0.2366,0.6714,-9.316,0.07
42,1.661,1.118,51,0.5738,0.676772436,22,1.067,1.706,89,0.8842,1.46,16,0.6831,0.6979,13,0.1755,0.678,-0.176,-1.952,0.5,-0.5054,-1.296,0.27,0.08078,-0.9326,0.58,-0.3503,-1.12,0.2323,0.6781,-9.546,0.07
35,1.71,1.052,55,0.973,0.670348039,22,1.296,1.892,91,0.8958,1.179,22,0.6831,0.8959,13,0.1755,0.8236,-0.1928,-1.785,0.5,-0.5345,-1.127,0.27,0.08078,-0.9326,0.58,-0.3917,-1.237,0.2253,0.6694,-9.187,0.07
31,1.71,1.048,53,-0.04918,0.175123109,23,1.245,1.626,90,0.8958,1.241,19,0.6831,0.7541,10,0.1335,0.9261,-0.06157,-1.78,0.5,-0.5054,-1.107,0.27,0.1103,-0.9068,0.58,-0.8352,-1.417,0.1879,0.6744,-9.32,0.07
34,1.71,1.238,52,-0.04918,0.455171993,24,1.245,1.97,90,0.8958,1.388,18,0.742,0.7772,11,0.09064,0.7704,0.005046,-2.225,0.5,-0.4774,-1.262,0.27,0.07458,-0.8598,0.58,-0.8545,-1.201,0.1805,0.6278,-10.3,0.07
36,1.762,1.162,44,-0.04918,0.534352752,23,1.245,1.815,90,0.8958,1.403,24,0.7253,0.7494,10,-0.0004678,0.7658,0.005046,-2.225,0.5,-0.4892,-1.016,0.27,0.3279,-1.619,0.58,-0.8545,-1.201,0.1805,0.5966,-9.748,0.07
35,1.708,1.109,38,-0.04918,0.802828518,19,1.172,1.557,93,0.8998,1.336,21,0.7253,0.8321,12,-0.005291,0.6879,-0.015,-2.239,0.5,-0.4618,-1.193,0.27,0.3279,-1.619,0.58,-0.8929,-1.053,0.18,0.5966,-9.748,0.07
40,1.725,1.079,46,-0.04918,0.802828518,24,1.193,1.298,88,0.9317,1.513,21,0.7253,0.9148,11,0.1466,0.6683,-0.02137,-2.014,0.5,-0.4618,-1.193,0.27,0.3396,-1.54,0.58,-0.4311,-2.017,0.1963,0.5966,-9.748,0.07
40,1.725,0.9695,55,-0.04918,0.728498156,23,1.07,1.664,89,0.9317,1.358,21,0.7253,0.9283,15,0.0687,0.7011,-0.02137,-2.014,0.5,-0.4751,-0.8787,0.27,0.3625,-1.584,0.58,-0.3886,-2.005,0.1975,0.5924,-9.783,0.07
37,1.725,0.8627,42,-0.04918,0.632477322,24,1.07,1.178,91,0.919,1.13,22,0.8185,0.9559,14,0.06901,0.618,0.03995,-2.135,0.5,-0.5094,-0.6408,0.27,0.313,-1.57,0.58,-0.382,-2.01,0.2005,0.5755,-9.847,0.07
40,1.72,1.209,52,-0.04918,0.632477322,24,1.243,1.11,90,0.919,1.108,19,0.8185,1.034,17,0.06901,0.6756,0.1115,-1.725,0.5,-0.5525,-1.525,0.27,0.2715,-1.563,0.58,-0.3851,-2.016,0.2003,0.5879,-10.04,0.07
